Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Latitude [deg],Longitude [deg],Altitude [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
46,6378137.8670059,491.25396804783,145.330800783962,0.00131432721901952,0.00441300887021273,0.887591361655629,-0.109880129043421,-3.97498984064731,2.35095090828561,2.35095343526751,-3.9749813657207,0.11013235925003,0,-0.00315698794403344,-59.9195150134376
47,6378137.72540133,488.722450451014,147.148918181008,0.00133076974529237,0.00439026796141661,0.745834284113101,-0.049299602452701,-3.96643241506862,2.08418871220936,2.0841898637543,-3.96642862586065,0.0495551206936618,0,-0.00317145042897758,-60.8554909067737
48,6378134.09115661,485.177207922258,149.943718568674,0.00135604584189658,0.00435842299314642,-2.88861556878391,0.11854691214637,-3.85205566936252,2.24938859247832,2.24938579307854,-3.85206467594269,-0.118307127722411,0,-0.0031785097976715,-61.6778093049515
49,6378139.5421718,479.247317631551,151.882201952107,0.00137357572019353,0.00430515017898576,2.56199745851176,0.0267168601827383,-4.01696133856384,1.88835781894503,1.88835718514382,-4.01696333470358,-0.0264602998524726,0,-0.00317858868099993,-62.3878726270552
50,6378136.51834704,475.180266990709,155.923363583634,0.00141012341081821,0.00426861727994984,-0.462033417685536,-0.066791439850757,-3.87325200059117,2.10600855885241,2.10601020914041,-3.87324701378449,0.0670281708414678,0,-0.00317202768036538,-62.986276042029
51,6378137.57072423,470.450095378994,158.394118473364,0.00143246792764872,0.00422612472512098,0.590054412732784,0.0245059693963841,-3.89443494431075,2.00463947088614,2.00463886476066,-3.89443674127208,-0.0242688351708968,0,-0.00315908476992196,-63.472770673414
52,6378135.55486105,466.444028802273,158.389763051149,0.00143242899439204,0.00419013894451269,-1.42610309994337,-0.0318984064979033,-3.93395331334533,1.9957423371064,1.99574314115466,-3.93395097004009,0.0321362084168734,0,-0.00313993386715775,-63.8462259168561
53,6378136.49239441,465.264495069762,158.541977658553,0.00143380536499197,0.00417954239600965,-0.488652094370548,-0.0218900951562324,-3.7457649934917,1.74766381960036,1.74766437368231,-3.74576338671379,0.0221196019401274,0,-0.00311466233353863,-64.104589236866
54,6378140.15857789,464.194666104265,161.467415207074,0.00146026128627868,0.00416992956128931,3.17752730608509,0.0570484298734972,-3.84584823773661,1.7704139467491,1.77041249935043,-3.84585237947899,-0.056813654133974,0,-0.00308326723353986,-64.2448427409384
55,6378136.94461726,453.432534191944,163.810868373599,0.00148145550251016,0.00407325378632353,-0.0371473264675013,0.0307553970970111,-3.44298388078212,1.90517310178242,1.90517231225431,-3.4429860585348,-0.0305598901491206,0,-0.00304565024568224,-64.2629568798611
56,6378137.87636315,451.661876863535,166.433416254836,0.0015051728038656,0.00405734710814017,0.894541275560884,0.00243849327880641,-4.23890116176945,1.80170115523698,1.80170109844115,-4.2389013238208,-0.00218565053380044,0,-0.003001611198271,-64.1538429163018
57,6378136.31203451,446.166309700181,166.030481567633,0.00150152915690281,0.00400798057840441,-0.670184720270783,0.244948899865738,-3.91491300166227,1.93672417526128,1.93671776248853,-3.91493012686124,-0.244725796406689,0,-0.00295084031164126,-63.9113074937656
